"County","Agency","Year","Months Reported","Index Total","Violent Total","Murder","Rape","Robbery","Aggravated Assault","Property Total","Burglary","Larceny","Motor Vehicle Theft","Region"
"Albany","Albany City PD","2024","12","4,057","985","13","90","233","649","3,072","409","2,360","303","Non-New York City"
"Albany","Albany County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Albany","Albany County Sheriff","2024","12","58","8","0","1","1","6","50","7","40","3","Non-New York City"
"Albany","Albany County State Police","2024","11","181","58","1","12","1","44","123","4","112","7","Non-New York City"
"Albany","Altamont Vg PD","2024","12","5","0","0","0","0","0","5","0","5","0","Non-New York City"
"Albany","Bethlehem Town PD","2024","12","372","13","1","6","1","5","359","33","321","5","Non-New York City"
"Albany","Coeymans Town PD","2024","12","29","5","0","1","2","2","24","2","21","1","Non-New York City"
"Albany","Cohoes City PD","2024","12","235","34","0","3","9","22","201","17","168","16","Non-New York City"
"Albany","Colonie Town PD","2024","12","3,017","104","0","5","27","72","2,913","203","2,647","63","Non-New York City"
"Albany","County Total","2024",,"9,053","1,301","16","134","294","857","7,752","787","6,534","431","Non-New York City"
"Albany","Guilderland Town PD","2024","12","626","39","0","6","6","27","587","55","523","9","Non-New York City"
"Albany","Menands Vg PD","2024","12","79","7","0","2","1","4","72","9","56","7","Non-New York City"
"Albany","SUNY Police - Albany","2024","12","142","12","0","1","4","7","130","11","119","0","Non-New York City"
"Albany","SUNY Police - SUNY Plaza","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Albany","Watervliet City PD","2024","12","251","36","1","7","9","19","215","37","161","17","Non-New York City"
"Allegany","Alfred Vg PD","2024","12","22","5","0","1","0","4","17","4","12","1","Non-New York City"
"Allegany","Allegany County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Allegany","Allegany County Sheriff","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Allegany","Allegany County State Police","2024","11","209","61","0","20","3","38","148","33","104","11","Non-New York City"
"Allegany","Andover Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Allegany","Belmont Vg PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Allegany","Bolivar Vg PD","2024","12","5","0","0","0","0","0","5","1","4","0","Non-New York City"
"Allegany","County Total","2024",,"381","80","0","24","4","52","301","45","241","15","Non-New York City"
"Allegany","Cuba Town PD","2024","12","24","3","0","0","0","3","21","1","19","1","Non-New York City"
"Allegany","Friendship Town PD","2024","12","2","0","0","0","0","0","2","0","2","0","Non-New York City"
"Allegany","Independence Town PD","2024","12","3","1","0","0","0","1","2","0","2","0","Non-New York City"
"Allegany","SUNY Police - Alfred","2024","12","25","5","0","3","0","2","20","0","20","0","Non-New York City"
"Allegany","Wellsville Vg PD","2024","12","90","5","0","0","1","4","85","6","77","2","Non-New York City"
"Allegany","Willing Town PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Bronx","County Total","2024","12","50,844","17,160","114","672","4,937","11,437","33,684","2,947","26,127","4,610","New York City"
"Broome","Binghamton City PD","2024","12","1,895","273","3","33","35","202","1,622","210","1,316","96","Non-New York City"
"Broome","Broome County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Broome","Broome County Sheriff","2024","12","603","51","0","19","9","23","552","57","464","31","Non-New York City"
"Broome","Broome County State Police","2024","11","436","61","1","17","3","40","375","53","303","19","Non-New York City"
"Broome","County Total","2024",,"5,071","500","4","93","60","343","4,571","508","3,880","183","Non-New York City"
"Broome","Endicott Vg PD","2024","12","428","43","0","12","6","25","385","60","317","8","Non-New York City"
"Broome","Johnson City Vg PD","2024","12","654","52","0","8","5","39","602","76","507","19","Non-New York City"
"Broome","Port Dickinson Vg PD","2024","10","1","0","0","0","0","0","1","0","0","1","Non-New York City"
"Broome","SUNY Police - Binghamton","2024","12","168","4","0","3","0","1","164","6","155","3","Non-New York City"
"Broome","Vestal Town PD","2024","12","885","16","0","1","2","13","869","46","817","6","Non-New York City"
"Cattaraugus","Allegany Vg PD","2024","12","10","1","0","0","0","1","9","0","9","0","Non-New York City"
"Cattaraugus","Cattaraugus County Park PD","2024","12","4","0","0","0","0","0","4","0","3","1","Non-New York City"
"Cattaraugus","Cattaraugus County Sheriff","2024","12","208","36","0","7","2","27","172","42","118","12","Non-New York City"
"Cattaraugus","Cattaraugus County State Police","2024","11","295","32","0","12","1","19","263","54","190","19","Non-New York City"
"Cattaraugus","Cattaraugus Vg PD","2024","11","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cattaraugus","County Total","2024",,"1,225","146","0","25","27","94","1,079","165","866","48","Non-New York City"
"Cattaraugus","Ellicottville Town PD","2024","12","20","1","0","1","0","0","19","3","16","0","Non-New York City"
"Cattaraugus","Franklinville Vg PD","2024","12","2","0","0","0","0","0","2","0","2","0","Non-New York City"
"Cattaraugus","Olean City PD","2024","12","578","54","0","3","18","33","524","47","465","12","Non-New York City"
"Cattaraugus","Portville Vg PD","2024","12","5","0","0","0","0","0","5","1","4","0","Non-New York City"
"Cattaraugus","Salamanca City PD","2024","12","103","22","0","2","6","14","81","18","59","4","Non-New York City"
"Cayuga","Auburn City PD","2024","12","437","86","0","11","8","67","351","30","305","16","Non-New York City"
"Cayuga","Cayuga County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cayuga","Cayuga County Sheriff","2024","12","104","14","0","6","0","8","90","13","71","6","Non-New York City"
"Cayuga","Cayuga County State Police","2024","11","164","40","0","19","0","21","124","20","96","8","Non-New York City"
"Cayuga","County Total","2024",,"706","140","0","36","8","96","566","63","473","30","Non-New York City"
"Cayuga","Moravia Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cayuga","Port Byron Vg PD","2024","11","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cayuga","Weedsport Vg PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Chautauqua","Carroll Town PD","2024","12","9","0","0","0","0","0","9","0","7","2","Non-New York City"
"Chautauqua","Chautauqua County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Chautauqua","Chautauqua County Sheriff","2024","12","298","38","0","16","1","21","260","56","191","13","Non-New York City"
"Chautauqua","Chautauqua County State Police","2024","11","208","32","0","15","0","17","176","37","125","14","Non-New York City"
"Chautauqua","County Total","2024",,"2,236","310","7","69","31","203","1,926","298","1,568","60","Non-New York City"
"Chautauqua","Dunkirk City PD","2024","12","273","34","0","0","4","30","239","21","214","4","Non-New York City"
"Chautauqua","Ellicott Town PD","2024","12","167","5","0","1","1","3","162","19","141","2","Non-New York City"
"Chautauqua","Fredonia Vg PD","2024","12","163","3","0","0","1","2","160","12","147","1","Non-New York City"
"Chautauqua","Jamestown City PD","2024","12","840","192","7","35","24","126","648","125","505","18","Non-New York City"
"Chautauqua","Lakewood-Busti PD","2024","12","244","4","0","2","0","2","240","26","208","6","Non-New York City"
"Chautauqua","SUNY Police - Fredonia","2024","12","13","0","0","0","0","0","13","0","13","0","Non-New York City"
"Chautauqua","Westfield Vg PD","2024","12","20","2","0","0","0","2","18","2","16","0","Non-New York City"
"Chemung","Chemung County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Chemung","Chemung County Sheriff","2024","12","156","17","1","2","1","13","139","15","118","6","Non-New York City"
"Chemung","Chemung County State Police","2024","11","252","62","0","9","2","51","190","19","166","5","Non-New York City"
"Chemung","County Total","2024",,"1,816","263","3","21","31","208","1,553","201","1,317","35","Non-New York City"
"Chemung","Elmira City PD","2024","12","1,360","175","2","8","27","138","1,185","157","1,006","22","Non-New York City"
"Chemung","Elmira Heights Vg PD","2024","12","47","9","0","2","1","6","38","10","26","2","Non-New York City"
"Chemung","Elmira Town PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Chenango","Afton Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Chenango","Bainbridge Vg PD","2024","6","2","0","0","0","0","0","2","0","2","0","Non-New York City"
"Chenango","Chenango County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Chenango","Chenango County Sheriff","2024","10","272","22","0","11","1","10","250","32","215","3","Non-New York City"
"Chenango","Chenango County State Police","2024","11","179","44","0","21","0","23","135","24","99","12","Non-New York City"
"Chenango","County Total","2024",,"468","67","0","32","1","34","401","60","325","16","Non-New York City"
"Chenango","Greene Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Chenango","New Berlin Town PD","2024","12","3","0","0","0","0","0","3","0","3","0","Non-New York City"
"Chenango","Sherburne Vg PD","2024","10","12","1","0","0","0","1","11","4","6","1","Non-New York City"
"Clinton","Clinton County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
